VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDCC3LD2K,Snohomish,Edmonds,WA,98020,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,21,113182177,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050403
7SAYGDEE1N,King,Renton,WA,98056,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11,205650014,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025500
1N4CZ1CV1P,Snohomish,Bothell,WA,98021,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,220498211,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051917
KNDC3DLC1N,King,Kent,WA,98042,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,47,211191921,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031800
5YJ3E1EC3N,Snohomish,Bothell,WA,98021,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,215153088,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
WBY1Z4C59F,Pierce,Gig Harbor,WA,98335,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,26,242624497,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072408
KNDCC3LG5L,Pierce,Sumner,WA,98390,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,31,172479100,POINT (-122.23972 47.2022),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073302
5YJSA1E25J,King,Bellevue,WA,98004,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,41,124758476,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807
5YJ3E1EB2N,Pierce,Fife,WA,98424,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,25,187330685,POINT (-122.35686 47.23679),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940002
5YJSA1E28J,King,Sammamish,WA,98029,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,5,202815084,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032222
5YJ3E1EB5N,Whatcom,Bellingham,WA,98225,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,195120264,POINT (-122.47122 48.75235),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001101
5YJYGAEE9M,Jefferson,Chimacum,WA,98325,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,24,156454343,POINT (-122.77295 48.01182),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950302
5YJ3E1EBXM,Snohomish,Lynnwood,WA,98036,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,161551050,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051931
1G1FW6S09N,Klickitat,White Salmon,WA,98672,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,171386897,POINT (-121.48704 45.72776),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,53039950301
1G1RB6E44D,Skagit,Mount Vernon,WA,98274,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,10,476841879,POINT (-122.32267 48.41626),PUGET SOUND ENERGY INC,53057952403
1N4AZ0CP5D,King,Bellevue,WA,98008,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,48,245368350,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
1N4BZ1CV9N,Island,Camano Island,WA,98282,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,175631781,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53029971500
5YJ3E1EC3N,King,Seattle,WA,98136,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34,204773831,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011601
KM8K53AG6N,King,Seattle,WA,98122,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,37,171034874,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008700
5YJ3E1EB3J,King,Auburn,WA,98002,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,31,232662251,POINT (-122.21698 47.28317),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030600
JN1AZ0CP0B,King,Seattle,WA,98115,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,43,260360551,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
1N4AZ0CP6D,King,Bellevue,WA,98007,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,48,166269484,POINT (-122.12053 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022804
5YJ3E1EC9P,Walla Walla,Burbank,WA,99323,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,219727413,POINT (-119.01561 46.1992),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
